Time[s],X[m],Y[m],Yaw[rad],V[m/s],steering angle[rad],acceleration[m/s^2],calculation time[ms],progressed distance[m]
9.399999999999983,28.533644296522066,21.430751153784236,1.892423331227857,5.555555555750007,0.2637041989451532,-6.084698590012616e-10,0.6142,52.655990389930935
9.499999999999982,28.281677111336844,21.925847765554096,1.928706503559307,5.5555555557071825,0.25764019850437503,-4.282415037261229e-10,0.6061,53.21011190174008
9.599999999999982,28.013656721814893,22.41244286152589,1.9641223730902437,5.555555555672182,0.2516426503355312,-3.500017879849378e-10,0.5669,53.76429016934622
9.699999999999982,27.729262184880007,22.889653608267547,1.9991891247189895,5.555555555649845,0.24922525396700812,-2.2336720878704492e-10,0.3404,54.31849706704837
9.799999999999981,27.42964421024355,23.357457683278206,2.0335649736302615,5.555555555627469,0.24443592462752375,-2.2375895891344652e-10,0.4996,54.87273343182456
9.89999999999998,27.115514891469132,23.815645026784388,2.0672048646217225,5.555555555614807,0.23932661544628003,-1.266246530854919e-10,0.4529,55.427000332449694
9.99999999999998,26.786925426634664,24.263576443220828,2.1004262853580817,5.555555555599945,0.23641795919415912,-1.4861957711690283e-10,0.6656,55.98128081661297
10.09999999999998,26.44428984286596,24.700857886523174,2.1332866003173385,5.555555555590312,0.23390602772287222,-9.633595582488839e-11,0.6276,56.53556520314754
10.19999999999998,26.088304228565125,25.12734263492544,2.1656735670224667,5.55555555558209,0.23061053885965133,-8.22212339800418e-11,0.3554,57.08984572607813
10.29999999999998,25.719131122924605,25.54246507374964,2.1978056452855252,5.555555555576261,0.22883469331678383,-5.829488554575975e-11,0.475,57.644112722924596
10.399999999999979,25.336873688919653,25.94557143253688,2.229900670584701,5.555555555571927,0.2285764650524019,-4.3330308858185084e-11,0.3094,58.19836550923357
10.499999999999979,24.94217530526328,26.336504895572656,2.261810871965434,5.555555555568291,0.22728811414238465,-3.6357906179624426e-11,0.5545,58.752589661043444
10.599999999999978,24.535057786083197,26.714487642039984,2.293815692351073,5.555555555565417,0.22794773292718817,-2.8741094819571114e-11,0.6055,59.30676071436121
10.699999999999978,24.11579295934677,27.07894936821897,2.3259939359866206,5.555555555563207,0.22915640096363352,-2.209568729289214e-11,0.6186,59.86088681698172
10.799999999999978,23.68508509021086,27.42981423013996,2.3581267858823933,5.555555555561636,0.22884007075280197,-1.5715255695251366e-11,0.6007,60.414944539515204
10.899999999999977,23.242491569988886,27.765560250008708,2.3908625697414236,5.555555555560341,0.2330393359384776,-1.2951653969487422e-11,0.5223,60.96887870024056
10.999999999999977,22.787997671187355,28.085010129562882,2.4244683803418963,5.55555555555904,0.23908982682068794,-1.3011662294660496e-11,0.9769,61.522701387413704
11.099999999999977,22.323081555985024,28.389092372645916,2.4580306933195235,5.555555555558409,0.23878758363566785,-6.3069964327843876e-12,0.8519,62.076396385387625
11.199999999999976,21.84695320696067,28.675296703114714,2.4926656087026937,5.55555555555783,0.24623259253023788,-5.787493155186758e-12,0.9757,62.629860555051465
11.299999999999976,21.3593966734351,28.941561185637777,2.5289323485502075,5.5555555555573894,0.25752667089327863,-4.406830791263343e-12,1.2007,63.18306802175061
11.399999999999975,20.862422392848643,29.18980413011592,2.565281011370039,5.5555555555570635,0.25809261381877485,-3.2576657432803468e-12,1.1999,63.73597422290389
11.499999999999975,20.355170410810224,29.416299611488004,2.6033123424345024,5.55555555555665,0.26969396093300657,-4.143146579435567e-12,1.2909,64.28838917550073
11.599999999999975,19.836787011310523,29.61599037259099,2.6447809349459623,5.555555555556491,0.29325181450173626,-1.5867744586325791e-12,1.1586,64.84027562059038
11.699999999999974,19.309869215637697,29.791925916249973,2.6872089756284208,5.555555555556283,0.2997924882901908,-2.0822125738204737e-12,1.6829,65.3916183968917
11.799999999999974,18.773572588925692,29.936745657253386,2.733515260352867,5.555555555556209,0.3260673579468793,-7.374804178507075e-13,1.0052,65.94221967408534
11.899999999999974,18.22869661029134,30.044837872822,2.7850180470292605,5.555555555556156,0.360840791947535,-5.37109801067794e-13,0.7571,66.492215986347
11.999999999999973,17.678131822988497,30.118627671648422,2.839185226126918,5.555555555556127,0.3784678051498958,-2.8795852150345436e-13,0.7909,67.041941403228
12.099999999999973,17.123754345451797,30.15357044012392,2.897212085759064,5.555555555556089,0.4037485001966676,-3.857493063689133e-13,0.9703,67.59139181791275
12.199999999999973,16.56833804181045,30.1461786689282,2.9595917557519056,5.555555555556061,0.4318860560716752,-2.8598300999641007e-13,0.9182,68.14091312062692
12.299999999999972,16.014872280534853,30.099162517208548,3.024129165030747,5.555555555555878,0.44568345597246395,-1.8333305863574404e-12,1.8941,68.69084152298913
12.399999999999972,15.46540658422221,30.017774128071448,3.088135904645769,5.5555555555558955,0.44229954732976995,1.769302084355538e-13,1.8536,69.24136181678566
12.499999999999972,14.92341808675075,29.896211566962197,-3.128763926933408,5.555555555555736,0.45678661789437647,-1.5947752054565444e-12,2.2334,69.79240633578678
12.599999999999971,14.389756902861132,29.7421355381854,-3.063870251320712,5.555555555555637,0.44795179491240544,-9.857624058296442e-13,2.1955,70.34418315188701
12.69999999999997,13.864467364016953,29.56153641496434,-3.002507121510056,5.555555555555706,0.42535101558225885,6.96606413751643e-13,1.5295,70.89659755717337
12.79999999999997,13.351883555908936,29.347525409811187,-2.9404280794727606,5.555555555555505,0.42995572118192826,-2.0167451430634107e-12,1.4261,71.44936482056976
12.89999999999997,12.849806023761744,29.109885973627023,-2.8820554922276074,5.555555555555439,0.4059979959659191,-6.568397437837567e-13,0.8946,72.00271230697692
12.99999999999997,12.358180282516548,28.851294116078183,-2.827565769236468,5.555555555555562,0.38059207820244606,1.2291973177114848e-12,0.7729,72.55643415836826
13.09999999999997,11.879754750675897,28.56902049608904,-2.77443760370336,5.5555555555556415,0.37161068061613,8.024615281556965e-13,0.7877,73.11035273584888
13.199999999999969,11.411968836445684,28.269427152237782,-2.7252814525570175,5.555555555555716,0.34520108430903695,7.425880098547552e-13,0.7996,73.66459991680574
13.299999999999969,10.954999619001716,27.953567705196217,-2.6794931705990317,5.55555555555577,0.32257344958803774,5.384759628561186e-13,0.7849,74.21903249029158
13.399999999999968,10.510290307192484,27.620662127037207,-2.6356307658819147,5.555555555555798,0.30954118056942603,2.714789516174807e-13,0.7357,74.77358807542942
13.499999999999968,10.074847395401273,27.27571205988588,-2.5957536705881252,5.555555555555497,0.2823682559603863,-3.007405065607564e-12,0.8119,75.32835598419315
13.599999999999968,9.648996440373685,26.918979638895262,-2.5589061975205043,5.555555555555361,0.26153629405705986,-1.3572470514817654e-12,0.8642,75.8832374829892
13.699999999999967,9.233214009500783,26.55055588115027,-2.5242553269760557,5.555555555555314,0.24634321200988724,-4.746761806409123e-13,0.8932,76.43819010960837
13.799999999999967,8.825574600132919,26.17313503986362,-2.4927084408864766,5.555555555555258,0.2247541906378453,-5.559438043210015e-13,0.8415,76.99326216757746
13.899999999999967,8.425754392472733,25.78743522674308,-2.4638420806624772,5.555555555555256,0.20600472803758874,-1.9107424250514162e-14,0.8894,77.548411050127
13.999999999999966,8.034204932095111,25.393338495259623,-2.4368333046291446,5.555555555555233,0.19295798361078914,-2.282820923362551e-13,0.8464,78.10359957821733
14.099999999999966,7.649726551705887,24.99233653620723,-2.412064183796767,5.555555555555186,0.17717348642685063,-4.693321101726818e-13,0.8627,78.6588539403489
14.199999999999966,7.2710687639285485,24.585830055638393,-2.3898111316961197,5.5555555555551965,0.15937534001909548,1.0943539354324673e-13,0.7793,79.21416652559351
14.299999999999965,6.899152392536306,24.17314492931559,-2.36896711933255,5.5555555555552365,0.14938008841888378,4.0112994869126456e-13,0.6832,79.76950168982601
14.399999999999965,6.533177793300717,23.75517957948865,-2.3497134985106176,5.555555555555213,0.1380760581105475,-2.2873131819187385e-13,0.7805,80.32486743059944
14.499999999999964,6.171703487015916,23.333313826733647,-2.3325373666348512,5.555555555555388,0.12327694132131378,1.7458924752980647e-12,0.6393,80.88027351289777
14.599999999999964,5.815698794363575,22.906821225061986,-2.316403609971949,5.555555555555399,0.11583855550396194,1.0682544881697741e-13,0.6881,81.43569827580505
14.699999999999964,5.464284184329493,22.476537478362662,-2.301589435574001,5.555555555555523,0.10641059979949251,1.2403111835922003e-12,0.6081,81.99113833866598
14.799999999999963,5.116917434479634,22.04297821265151,-2.2881008756499783,5.5555555555556095,0.0969276448962385,8.57992170216481e-13,0.6129,82.54660052036638
14.899999999999963,4.773181285549329,21.606533961236483,-2.2758651254412277,5.555555555555477,0.08795547645836609,-1.3256979840007234e-12,0.7832,83.1020819139
14.999999999999963,4.433277255154472,21.16709808333585,-2.2644786577577656,5.555555555555574,0.0818681355019301,9.698004633465477e-13,0.5478,83.65757180531573
15.099999999999962,4.09665047490177,20.725146059409933,-2.2540547725458757,5.55555555555547,0.07496413376615507,-1.043415662562964e-12,0.7234,84.21307111011907
15.199999999999962,3.762676521108917,20.281185330994635,-2.244711826334876,5.5555555555555785,0.06720593068302302,1.085759320273995e-12,0.6137,84.76858431111928
15.299999999999962,3.4315013206618676,19.835132575942684,-2.2361132493138376,5.555555555555514,0.06186040873047848,-6.528001617092515e-13,0.6079,85.32410576306916
15.399999999999961,3.1028799675859657,19.387194657966536,-2.228218026875646,5.5555555555555545,0.05680739068841572,4.11714434286365e-13,0.7779,85.87963180650796
